MONTH,DAY_OF_WEEK,DEP_DEL15,CONCURRENT_FLIGHTS,CARRIER_NAME,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,SNOW,AWND
11,6,0,43,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,4.92
12,3,0,7,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,6,0.0,1.57
10,7,0,26,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,4.7
6,3,1,13,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,8.5
12,3,0,8,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,3,0.0,6.26
10,4,0,3,JetBlue Airways,0.0001600389254787,0.0001268661761139,18,0.0,15.21
12,2,0,22,JetBlue Airways,0.0001600389254787,0.0001268661761139,12,0.0,12.3
10,7,1,13,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,5.82
11,5,0,4,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,4.92
1,1,0,14,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,9.4
12,3,0,32,Mesa Airlines Inc.,0.0,9.131157116170832e-05,16,0.0,11.63
3,4,0,51,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,2,0.0,13.2
5,2,1,92,Mesa Airlines Inc.,0.0,9.131157116170832e-05,2,0.0,5.14
1,4,0,25,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,20.8
6,6,0,12,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,7,0.0,7.38
3,1,0,49,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,5.37
1,5,0,13,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,3.8
6,7,0,60,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,14.76
10,5,0,45,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,3,0.0,4.47
6,1,0,67,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,6.49
4,4,0,17,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,10.74
7,4,0,8,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,9.17
6,3,0,30,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,9.84
10,4,1,53,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,1.0,11.86
6,5,0,108,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.28
5,4,1,14,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,11,0.0,5.82
1,3,0,2,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,5.59
12,5,0,6,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,8.05
10,3,1,23,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,2,0.0,12.75
11,5,0,10,JetBlue Airways,0.0001600389254787,0.0001268661761139,8,0.0,3.36
11,1,0,24,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,3.58
10,1,0,4,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,11,0.0,7.61
7,3,0,16,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,6,0.0,7.61
8,6,0,37,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,13.2
3,5,0,50,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,10.51
12,4,0,33,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,6,0.0,16.11
2,4,0,73,Endeavor Air Inc.,0.0,9.351277617445625e-05,11,0.0,12.75
6,4,0,81,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,5.82
4,4,1,69,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,11.18
2,5,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,11.63
10,1,0,65,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,3.8
1,6,0,4,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,21,0.0,10.74
8,4,0,61,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,16,0.0,10.96
7,5,0,13,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,5.14
7,6,0,52,Mesa Airlines Inc.,0.0,9.131157116170832e-05,2,0.0,13.2
7,6,0,76,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,2,0.0,13.65
6,7,0,37,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,9.17
9,7,0,10,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,6.93
2,5,0,4,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,8.72
5,3,1,53,Mesa Airlines Inc.,0.0,9.131157116170832e-05,12,0.0,9.4
2,3,0,19,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,3,0.0,8.05
5,4,0,80,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.5
1,1,0,14,Endeavor Air Inc.,0.0,9.351277617445625e-05,16,3.9,9.62
9,6,0,53,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,9,0.0,6.93
5,7,0,25,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,4,0.0,9.84
10,2,0,14,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,16,0.0,6.26
3,7,0,81,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,28,0.0,15.66
6,6,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,10,0.0,6.49
1,1,0,8,Endeavor Air Inc.,0.0,9.351277617445625e-05,10,0.0,5.82
2,5,1,18,JetBlue Airways,0.0001600389254787,0.0001268661761139,12,0.0,13.2
10,2,1,47,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,5.82
3,3,0,43,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,10.51
10,4,0,20,Endeavor Air Inc.,0.0,9.351277617445625e-05,14,0.0,1.79
5,7,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.0,6.26
4,3,0,5,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,13,0.0,14.09
4,6,0,12,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,9.4
6,4,0,45,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,19,0.0,4.03
11,5,0,11,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,3,0.0,9.62
6,4,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,6.93
9,5,0,30,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,1,0.0,12.08
12,6,1,43,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,18,0.0,6.93
10,2,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,4.7
5,1,1,62,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,10.07
9,2,0,10,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,16,0.0,4.47
12,6,0,5,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,4,0.0,19.69
2,5,0,27,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,12.53
2,1,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,6.93
2,4,0,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,10.29
8,6,0,17,Hawaiian Airlines Inc.,0.0001204942176112,0.0001978496657113,1,0.0,7.61
4,1,0,7,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,0,0.0,13.42
11,6,0,16,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,8.5
7,2,0,35,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,5.59
11,6,1,9,JetBlue Airways,0.0001600389254787,0.0001268661761139,7,0.0,8.5
11,3,0,29,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,5.37
10,1,0,10,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,7.38
12,7,1,22,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,2,0.0,17.0
4,6,0,4,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,25,0.0,6.71
2,5,0,50,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,14,0.0,17.67
10,7,0,34,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,9.84
3,3,0,12,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,24,0.0,6.71
10,2,0,56,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,5.82
9,7,0,27,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,11,0.0,5.59
9,3,0,72,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,10.51
6,5,0,24,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,16.33
11,3,0,62,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,7.61
1,5,0,13,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,3.8
12,7,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,11.86
8,3,1,20,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,10,0.0,7.16
8,4,1,29,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,4,0.0,4.7
3,2,0,4,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,4,0.0,7.38
2,2,0,19,JetBlue Airways,0.0001600389254787,0.0001268661761139,18,0.0,8.5
6,6,0,6,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,3.8
10,3,0,16,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,9.62
4,2,0,6,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,6.26
2,6,1,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,13.2
11,5,0,30,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,5,0.0,2.91
2,1,0,4,Allegiant Air,1.3252580061983644e-05,0.0001077434759039,11,0.0,6.26
9,7,0,43,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,9,0.0,5.37
2,6,1,41,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,10.51
9,6,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,6.93
4,7,1,35,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,4,0.0,11.41
11,4,0,7,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,10.07
8,2,0,8,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,5,0.0,5.59
12,3,1,60,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,8.72
5,5,0,4,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,4.25
10,6,0,48,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,5.82
2,4,0,32,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,11.63
2,6,0,47,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,5.82
10,3,0,57,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,8.95
3,5,0,39,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,11.63
11,4,0,40,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,6.04
7,5,1,60,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,5.14
4,5,0,21,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,6,0.0,7.61
10,4,0,13,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,18,0.0,1.79
10,7,0,32,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,14,0.0,7.61
10,3,0,31,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,3,0.0,9.62
7,7,0,9,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,6.71
6,3,1,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,13,0.0,4.25
7,1,0,15,JetBlue Airways,0.0001600389254787,0.0001268661761139,11,0.0,9.62
5,5,0,11,Comair Inc.,0.0,8.999810569042966e-05,16,0.0,9.4
8,4,1,28,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,7.38
3,6,0,33,Mesa Airlines Inc.,0.0,9.131157116170832e-05,4,0.0,9.17
4,6,1,24,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,7.83
10,2,0,57,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,8.95
10,5,0,34,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,2,0.0,6.04
6,3,0,42,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,3,0.0,9.17
11,7,0,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,5.14
4,7,0,43,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,20.8
5,6,0,20,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,23,0.0,6.49
11,1,0,30,JetBlue Airways,0.0001600389254787,0.0001268661761139,13,0.0,5.82
7,3,1,24,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,12,0.0,9.84
1,2,1,35,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,6.93
4,6,0,28,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,13.2
1,6,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,2.68
12,6,1,2,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,12.3
11,7,0,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,5.82
3,1,0,31,Comair Inc.,0.0,8.999810569042966e-05,16,0.0,6.93
9,7,0,56,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,14,0.0,7.61
1,5,0,48,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.3,10.51
3,6,0,12,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,4.92
7,6,0,38,Atlantic Southeast Airlines,0.0,0.0001998053656534,0,0.0,12.75
1,3,1,34,Mesa Airlines Inc.,0.0,9.131157116170832e-05,4,0.0,4.47
10,5,1,27,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,5.82
4,1,1,33,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,4,0.0,8.95
12,3,0,3,JetBlue Airways,0.0001600389254787,0.0001268661761139,9,0.0,9.62
7,2,0,6,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,1,0.0,8.28
1,7,0,58,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,21,0.0,2.46
9,5,0,65,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,5.59
7,6,0,25,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,8.72
10,5,0,11,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,11,0.0,2.91
10,2,0,21,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,6,0.0,8.05
11,3,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,2.91
6,5,0,26,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.0,13.87
10,1,0,2,Comair Inc.,0.0,8.999810569042966e-05,0,0.0,2.24
9,7,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,3.58
3,7,1,34,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,9.17
6,5,0,32,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,7.38
2,3,0,24,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,2,0.0,12.08
12,7,0,29,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,21,0.0,8.72
12,4,0,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,4.47
4,2,0,37,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.72
1,4,0,33,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,17,0.0,7.16
12,7,0,30,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,1,0.0,4.47
11,1,0,46,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,15,0.0,10.74
8,4,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,5.37
3,1,0,44,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,14.54
3,7,1,16,JetBlue Airways,0.0001600389254787,0.0001268661761139,13,0.7,8.5
3,5,0,8,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,9.4
4,1,0,63,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,3.13
7,2,0,14,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,4,0.0,4.7
10,6,0,38,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,2,0.0,5.82
6,5,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,5.14
11,3,0,7,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,15,0.0,4.92
6,4,0,22,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,6.49
3,6,0,3,Endeavor Air Inc.,0.0,9.351277617445625e-05,12,0.0,13.42
2,6,0,41,Mesa Airlines Inc.,0.0,9.131157116170832e-05,3,0.0,14.99
11,6,0,84,Endeavor Air Inc.,0.0,9.351277617445625e-05,16,0.0,6.26
5,4,1,32,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,9,0.0,6.93
3,2,0,25,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,16,0.0,15.43
6,3,0,78,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,11.86
2,6,0,25,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,3,0.0,9.62
11,5,0,63,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,16,0.0,9.17
11,7,0,58,Endeavor Air Inc.,0.0,9.351277617445625e-05,15,0.0,10.51
10,1,0,77,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,9.17
11,4,0,14,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,6.93
7,6,0,16,JetBlue Airways,0.0001600389254787,0.0001268661761139,7,0.0,8.95
10,6,0,6,JetBlue Airways,0.0001600389254787,0.0001268661761139,14,0.0,13.42
5,5,1,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,10.51
10,2,0,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,5,0.0,4.25
9,3,0,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,8.95
3,5,0,8,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,4.92
1,3,0,10,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,7.38
7,7,1,4,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,7.83
8,7,0,4,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,4.92
9,7,1,5,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,4.25
4,6,1,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,15.21
4,6,0,38,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,18,0.0,5.14
4,5,0,52,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,15.88
4,1,0,32,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,17.22
8,6,0,7,Hawaiian Airlines Inc.,0.0001204942176112,0.0001978496657113,21,0.0,7.61
11,7,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,1.34
12,2,0,38,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,11,0.1,11.86
4,4,0,71,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,10.29
7,1,0,19,Endeavor Air Inc.,0.0,9.351277617445625e-05,15,0.0,7.61
4,4,0,6,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,6.93
12,5,0,5,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,2,0.0,12.3
3,7,0,12,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,5.14
3,3,0,24,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,7.61
3,5,1,7,Mesa Airlines Inc.,0.0,9.131157116170832e-05,10,0.0,6.26
3,6,0,2,Hawaiian Airlines Inc.,0.0001204942176112,0.0001978496657113,14,0.0,6.71
11,7,0,31,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,4,0.0,15.88
9,2,1,14,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,11,0.0,5.82
7,4,0,14,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,18,0.0,16.33
7,4,0,10,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,7.61
6,5,1,22,Mesa Airlines Inc.,0.0,9.131157116170832e-05,4,0.0,11.41
9,6,0,25,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,5,0.0,7.38
7,3,0,31,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,16,0.0,6.71
2,3,0,47,Atlantic Southeast Airlines,0.0,0.0001998053656534,18,0.0,10.07
