,MONTH,DAY_OF_WEEK,DEP_DEL15,CONCURRENT_FLIGHTS,CARRIER_NAME,FLT_ATTENDANTS_PER_PASS,GROUND_SERV_PER_PASS,PLANE_AGE,SNOW,AWND
5325646,10,7,0,6,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,8.5
631119,2,2,1,21,JetBlue Airways,0.0001600389254787,0.0001268661761139,1,0.0,8.28
4910014,10,3,0,21,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,11.18
1719165,4,4,1,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,8.5
6384936,12,7,0,31,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,4.47
2024638,4,1,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,4.92
4669114,9,1,0,35,Endeavor Air Inc.,0.0,9.351277617445625e-05,5,0.0,6.49
4184244,8,7,0,8,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,10,0.0,5.37
3029222,6,7,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,11,0.0,9.62
4035488,8,5,0,76,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,6.26
1934628,4,7,0,45,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,16.11
6098693,12,4,0,44,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,4,0.0,4.7
2117636,5,1,0,32,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,10.51
3911667,8,6,0,29,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,9.17
1377233,3,5,0,22,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,6.04
1274485,3,2,0,41,Mesa Airlines Inc.,0.0,9.131157116170832e-05,15,0.0,3.58
1272048,3,6,0,4,Endeavor Air Inc.,0.0,9.351277617445625e-05,11,0.0,6.71
5784833,11,6,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,2.68
4622839,9,2,0,25,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,10.29
6048692,12,4,1,23,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,15.66
4267239,8,6,0,12,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,3,0.0,3.8
3328707,7,6,0,65,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,12.53
1210712,3,1,1,35,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,13,0.0,8.5
3283341,7,3,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,7.83
513950,2,3,0,69,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,10.07
415623,1,3,0,13,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.0,14.32
2377939,5,3,0,5,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,16,0.0,10.96
4914309,10,1,0,86,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,5.14
2103680,5,5,0,84,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,5.14
3668470,7,6,0,23,JetBlue Airways,0.0001600389254787,0.0001268661761139,4,0.0,8.72
1189674,3,5,0,39,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,10.96
62834,1,4,0,18,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,14.99
448305,1,7,0,19,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,20.36
5637076,11,6,0,43,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,4.92
6080099,12,3,0,7,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,6,0.0,1.57
5034844,10,7,0,26,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,4.7
2891182,6,3,1,13,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,8.5
5962123,12,3,0,8,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,3,0.0,6.26
5274466,10,4,0,3,JetBlue Airways,0.0001600389254787,0.0001268661761139,18,0.0,15.21
6258657,12,2,0,22,JetBlue Airways,0.0001600389254787,0.0001268661761139,12,0.0,12.3
5241236,10,7,1,13,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,5.82
5920262,11,5,0,4,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,4.92
128179,1,1,0,14,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,9.4
6241579,12,3,0,32,Mesa Airlines Inc.,0.0,9.131157116170832e-05,16,0.0,11.63
1088037,3,4,0,51,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,2,0.0,13.2
2280766,5,2,1,92,Mesa Airlines Inc.,0.0,9.131157116170832e-05,2,0.0,5.14
232959,1,4,0,25,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,20.8
3114881,6,6,0,12,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,7,0.0,7.38
1105295,3,1,0,49,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,5.37
219260,1,5,0,13,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,3.8
2983527,6,7,0,60,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,14.76
4902544,10,5,0,45,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,3,0.0,4.47
2996319,6,1,0,67,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,6.49
1829759,4,4,0,17,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,10.74
3682498,7,4,0,8,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,23,0.0,9.17
2748581,6,3,0,30,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,9.84
5265248,10,4,1,53,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,1.0,11.86
2973132,6,5,0,108,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.28
2241488,5,4,1,14,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,11,0.0,5.82
171093,1,3,0,2,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,5.59
6435119,12,5,0,6,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,8.05
5299820,10,3,1,23,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,2,0.0,12.75
5925875,11,5,0,10,JetBlue Airways,0.0001600389254787,0.0001268661761139,8,0.0,3.36
5468521,11,1,0,24,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,3.58
5389947,10,1,0,4,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,11,0.0,7.61
3632614,7,3,0,16,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,6,0.0,7.61
4194433,8,6,0,37,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,13.2
1314372,3,5,0,50,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,10.51
6312189,12,4,0,33,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,6,0.0,16.11
542433,2,4,0,73,Endeavor Air Inc.,0.0,9.351277617445625e-05,11,0.0,12.75
2623139,6,4,0,81,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,5.82
1792961,4,4,1,69,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,11.18
803114,2,5,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,11.63
5019057,10,1,0,65,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,3.8
248095,1,6,0,4,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,21,0.0,10.74
3884648,8,4,0,61,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,16,0.0,10.96
3233125,7,5,0,13,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,5.14
3375977,7,6,0,52,Mesa Airlines Inc.,0.0,9.131157116170832e-05,2,0.0,13.2
3378311,7,6,0,76,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,2,0.0,13.65
2747170,6,7,0,37,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,9.17
4728027,9,7,0,10,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,6.93
803404,2,5,0,4,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,8.72
2299373,5,3,1,53,Mesa Airlines Inc.,0.0,9.131157116170832e-05,12,0.0,9.4
909188,2,3,0,19,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,3,0.0,8.05
2380237,5,4,0,80,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.5
317301,1,1,0,14,Endeavor Air Inc.,0.0,9.351277617445625e-05,16,3.9,9.62
4616294,9,6,0,53,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,9,0.0,6.93
2370057,5,7,0,25,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,4,0.0,9.84
5074220,10,2,0,14,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,16,0.0,6.26
1278204,3,7,0,81,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,28,0.0,15.66
2767173,6,6,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,10,0.0,6.49
265110,1,1,0,8,Endeavor Air Inc.,0.0,9.351277617445625e-05,10,0.0,5.82
724778,2,5,1,18,JetBlue Airways,0.0001600389254787,0.0001268661761139,12,0.0,13.2
4873008,10,2,1,47,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,5.82
1316469,3,3,0,43,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,10.51
5271645,10,4,0,20,Endeavor Air Inc.,0.0,9.351277617445625e-05,14,0.0,1.79
2147089,5,7,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,2,0.0,6.26
1986537,4,3,0,5,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,13,0.0,14.09
1800052,4,6,0,12,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,9.4
2672986,6,4,0,45,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,19,0.0,4.03
5713255,11,5,0,11,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,3,0.0,9.62
2921282,6,4,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,6.93
4331309,9,5,0,30,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,1,0.0,12.08
6172760,12,6,1,43,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,18,0.0,6.93
5379770,10,2,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,4.7
2075181,5,1,1,62,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,10.07
4317015,9,2,0,10,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,16,0.0,4.47
6380352,12,6,0,5,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,4,0.0,19.69
709940,2,5,0,27,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,12.53
655169,2,1,0,21,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,14,0.0,6.93
806327,2,4,0,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,14,0.0,10.29
4265333,8,6,0,17,Hawaiian Airlines Inc.,0.0001204942176112,0.0001978496657113,1,0.0,7.61
1890632,4,1,0,7,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,0,0.0,13.42
5641066,11,6,0,16,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,8.5
3484021,7,2,0,35,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,5.59
5641239,11,6,1,9,JetBlue Airways,0.0001600389254787,0.0001268661761139,7,0.0,8.5
5511688,11,3,0,29,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,18,0.0,5.37
5332751,10,1,0,10,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,7.38
6451293,12,7,1,22,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,2,0.0,17.0
2040326,4,6,0,4,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,25,0.0,6.71
522836,2,5,0,50,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,14,0.0,17.67
5023630,10,7,0,34,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,13,0.0,9.84
1055037,3,3,0,12,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,24,0.0,6.71
4903179,10,2,0,56,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,5.82
4485456,9,7,0,27,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,11,0.0,5.59
4649422,9,3,0,72,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,3,0.0,10.51
2926186,6,5,0,24,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,16.33
5654792,11,3,0,62,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,7.61
213652,1,5,0,13,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,3.8
6465448,12,7,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,11.86
4044332,8,3,1,20,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,10,0.0,7.16
3885510,8,4,1,29,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,4,0.0,4.7
1363080,3,2,0,4,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,4,0.0,7.38
711232,2,2,0,19,JetBlue Airways,0.0001600389254787,0.0001268661761139,18,0.0,8.5
2797018,6,6,0,6,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,17,0.0,3.8
5216059,10,3,0,16,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,9.62
1829218,4,2,0,6,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,6.26
936710,2,6,1,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,13.2
5731847,11,5,0,30,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,5,0.0,2.91
892603,2,1,0,4,Allegiant Air,1.3252580061983644e-05,0.0001077434759039,11,0.0,6.26
4710226,9,7,0,43,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,9,0.0,5.37
867216,2,6,1,41,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,13,0.0,10.51
4672610,9,6,0,11,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,6.93
1859892,4,7,1,35,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,4,0.0,11.41
5581687,11,4,0,7,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,10.07
4181366,8,2,0,8,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,5,0.0,5.59
6261155,12,3,1,60,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,8.72
2241633,5,5,0,4,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,4.25
4857776,10,6,0,48,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,5.82
645675,2,4,0,32,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,11.63
530183,2,6,0,47,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,16,0.0,5.82
4916277,10,3,0,57,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,8.95
1086822,3,5,0,39,JetBlue Airways,0.0001600389254787,0.0001268661761139,2,0.0,11.63
5781512,11,4,0,40,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,21,0.0,6.04
3521125,7,5,1,60,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,10,0.0,5.14
1738574,4,5,0,21,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,6,0.0,7.61
5197426,10,4,0,13,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,18,0.0,1.79
5275612,10,7,0,32,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,14,0.0,7.61
5253306,10,3,0,31,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,3,0.0,9.62
3707271,7,7,0,9,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,18,0.0,6.71
2729134,6,3,1,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,13,0.0,4.25
3454296,7,1,0,15,JetBlue Airways,0.0001600389254787,0.0001268661761139,11,0.0,9.62
2302123,5,5,0,11,Comair Inc.,0.0,8.999810569042966e-05,16,0.0,9.4
4068395,8,4,1,28,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,7.38
1143763,3,6,0,33,Mesa Airlines Inc.,0.0,9.131157116170832e-05,4,0.0,9.17
1739800,4,6,1,24,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,18,0.0,7.83
5263689,10,2,0,57,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,8.95
4862601,10,5,0,34,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,2,0.0,6.04
2912943,6,3,0,42,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,3,0.0,9.17
5736144,11,7,0,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,14,0.0,5.14
1852476,4,7,0,43,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,11,0.0,20.8
2048468,5,6,0,20,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,23,0.0,6.49
5463936,11,1,0,30,JetBlue Airways,0.0001600389254787,0.0001268661761139,13,0.0,5.82
3160420,7,3,1,24,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,12,0.0,9.84
39440,1,2,1,35,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,6.93
1718472,4,6,0,28,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,19,0.0,13.2
198128,1,6,0,9,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,2.68
6177352,12,6,1,2,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,12.3
5864809,11,7,0,3,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,17,0.0,5.82
980619,3,1,0,31,Comair Inc.,0.0,8.999810569042966e-05,16,0.0,6.93
4345288,9,7,0,56,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,14,0.0,7.61
468567,1,5,0,48,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.3,10.51
1339821,3,6,0,12,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,20,0.0,4.92
3471233,7,6,0,38,Atlantic Southeast Airlines,0.0,0.0001998053656534,0,0.0,12.75
182477,1,3,1,34,Mesa Airlines Inc.,0.0,9.131157116170832e-05,4,0.0,4.47
4871553,10,5,1,27,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,20,0.0,5.82
1580095,4,1,1,33,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,4,0.0,8.95
6436811,12,3,0,3,JetBlue Airways,0.0001600389254787,0.0001268661761139,9,0.0,9.62
3415760,7,2,0,6,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,1,0.0,8.28
276045,1,7,0,58,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,21,0.0,2.46
4592834,9,5,0,65,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,5.59
3156931,7,6,0,25,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,8.72
4952515,10,5,0,11,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,11,0.0,2.91
4905683,10,2,0,21,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,6,0.0,8.05
5857383,11,3,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,7,0.0,2.91
2691305,6,5,0,26,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,6,0.0,13.87
5171986,10,1,0,2,Comair Inc.,0.0,8.999810569042966e-05,0,0.0,2.24
4684502,9,7,0,75,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,3.58
1102592,3,7,1,34,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,9.17
2780682,6,5,0,32,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,8,0.0,7.38
757109,2,3,0,24,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,2,0.0,12.08
6025035,12,7,0,29,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,21,0.0,8.72
6090727,12,4,0,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,19,0.0,4.47
1919689,4,2,0,37,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,8.72
220929,1,4,0,33,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,17,0.0,7.16
6384670,12,7,0,30,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,1,0.0,4.47
5472833,11,1,0,46,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,15,0.0,10.74
3882691,8,4,0,12,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,5.37
1417786,3,1,0,44,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,18,0.0,14.54
1015610,3,7,1,16,JetBlue Airways,0.0001600389254787,0.0001268661761139,13,0.7,8.5
1255186,3,5,0,8,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,9.4
1594401,4,1,0,63,Comair Inc.,0.0,8.999810569042966e-05,15,0.0,3.13
3205512,7,2,0,14,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,4,0.0,4.7
4901329,10,6,0,38,Frontier Airlines Inc.,0.0001157256482767,7.134694872433899e-06,2,0.0,5.82
2794245,6,5,0,8,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,15,0.0,5.14
5903856,11,3,0,7,"Midwest Airline, Inc.",1.25293581928874e-06,0.0001238227442279,15,0.0,4.92
3089880,6,4,0,22,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,6.49
1459060,3,6,0,3,Endeavor Air Inc.,0.0,9.351277617445625e-05,12,0.0,13.42
628710,2,6,0,41,Mesa Airlines Inc.,0.0,9.131157116170832e-05,3,0.0,14.99
5684456,11,6,0,84,Endeavor Air Inc.,0.0,9.351277617445625e-05,16,0.0,6.26
2192563,5,4,1,32,Spirit Air Lines,9.173723925704242e-06,0.0001246510730715,9,0.0,6.93
1203958,3,2,0,25,Alaska Airlines Inc.,3.233146156611231e-05,0.0001746014497265,16,0.0,15.43
2634931,6,3,0,78,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,11.86
910729,2,6,0,25,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,3,0.0,9.62
5419021,11,5,0,63,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,16,0.0,9.17
5600718,11,7,0,58,Endeavor Air Inc.,0.0,9.351277617445625e-05,15,0.0,10.51
4997888,10,1,0,77,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,5,0.0,9.17
5743083,11,4,0,14,American Eagle Airlines Inc.,0.000348407665605,0.000106867151749,3,0.0,6.93
3412284,7,6,0,16,JetBlue Airways,0.0001600389254787,0.0001268661761139,7,0.0,8.95
5083260,10,6,0,6,JetBlue Airways,0.0001600389254787,0.0001268661761139,14,0.0,13.42
2423317,5,5,1,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,1,0.0,10.51
5010780,10,2,0,46,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,5,0.0,4.25
4675657,9,3,0,7,Southwest Airlines Co.,6.178236301460919e-05,9.88941230999822e-05,19,0.0,8.95
1116177,3,5,0,8,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,2,0.0,4.92
292011,1,3,0,10,United Air Lines Inc.,0.0002538042406215,0.0002289854734932,20,0.0,7.38
3681070,7,7,1,4,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,7.83
3972781,8,7,0,4,American Airlines Inc.,9.82082928995461e-05,0.000177287219593,8,0.0,4.92
4529086,9,7,1,5,Atlantic Southeast Airlines,0.0,0.0001998053656534,11,0.0,4.25
1686029,4,6,1,27,Delta Air Lines Inc.,0.0001441658849878,0.0001486602009422,27,0.0,15.21
1918432,4,6,0,38,SkyWest Airlines Inc.,3.419267401443636e-05,9.900278805864172e-05,18,0.0,5.14
